MATCH__ID	MATCH__form	MATCH__meaning_en	MATCH__gram_number	MATCH__gram_gender	MATCH__pattern
2101					s-
2102				f	s-
2103					n-
2104					n-
2105					n-
2106					s-
2107					n-
2108					n-
2109					n-
2110					s-
2111					s-
2112					s-
2113					s-
2114				f	n-
2115					n-
2116					n-
2117				f	n-
2118					n-
2119					n-
2120					s-
2121					s-
2122					s-
2123					s-
2124				f	s-
2125					s-
2126					s-
2127				f	n-
2128					s-
2129					s-
2130				f	n-
2131					s-
2132			coll		s-
2133				f	s-
2134					s-
2135					s-
2136			pl		s-
2137					s-
2138					s-
2139					s-
2140			pl		s-
2141					n-
2142			pl		n-
2143					n-
2144				f	n-
2145					
2146				f	n-
2147					
2148					
2149			du		s-
2150				f	s-
2151				f	s-
2152					s-
2153					j-
2154			pl		s-
2155					s-
2156					s-
2157					s-
2158					s-
2159					n-
2160					n-
2161			pl		n-
2162				f	s-
2163					s-
2164				f	n-
2165					s-
2166				f	n-
2167				f	n-
2168				f	
2169					s-
2170					s-
2171				f	s-
2172					s-
2173					s-
2174					s-
2175				f	s-
2176			f?-dem-unclear		s-
2177				f	s-
2178				f	s-
2179				f	n-
2180					n-
2181					n-
2182					n-
2183					
2184					
2185					
2186				f	s-
2187					s-
2188				f	s-
2189					s-
2190					
2191				f	
2192					s-
2193				f	
2194			pl		
2195					
2196			pl		
2197					n-
2198				f	s-
2199					s-
2200				f	m-
2201				f	m-
2202					n-
2203					n-
2204					xrr
2205					n-, xrr
2206				f	m-
2207			NN	NN	
2208			NN	NN	
2209			NN	NN	
2210			NN	NN	
2211					s-
2212				f	n-
2213					n-
2214					n-
2215					n-
2216				f	n-
2217					n-
2218					s-
2219					s-
2220					s-
2221				f	s-
2222			NN	NN	n-
2223					
2224					n-
2225					n-
2226					n-
2227			pl		n-
2228				f	n-
2229					n-
2230				f	
2231					
2232				f	m-
2233				f	m-
2234					n-, xrr
2235					j-
2236					
2237					
2238				f	
2239				f	
2240					
2241					
2242					
2243					
2244			pl		
2245					
2246					
2247					
2248			pl		
2249				f	
2250				f	
2251					
2252					
2253					
2254					
2255			NN	NN	
2256					
2257					
2258					
2259					
2260			coll		
2261					
2262					
2263					
2264					
2265					
2266					
2267					rr-rr
2268				f	
2269					rr-rr
2270					
2271				f	
2272			pl	f	
2273				f	
2274				f	
2275				f	
2276					
2277					
2278				f	
2279					
2280					
2281					
2282				f	
2283					
2284					
2285					
2286					
2287					rr-rr
2288					
2289				f	
2290					xrr
2291					
2292					rr-rr
2293				f	xxrr
2294					
2295				f	
2296					
2297					
2298					
2299					
2300					
2301					
2302					
2303					
2304					
2305					
2306					
2307			pl		
2308					
2309					
2310					
2311					
2312				f	
2313					
2314			pl		
2315					
2316					
2317					rr-rr
2318					j-
2319					
2320					
2321				f	
2322				f	
2323					
2324					
2325			NN	NN	
2326					
2327					s-
2328					
2329					
2330				f	
2331					
2332					
2333					
2334			pl		
2335					
2336				f	
2337				f	
2338					
2339					
2340			pl		
2341				f	
2342			du	f	
2343					
2344					
2345					
2346			pl		
2347					
2348					
2349			coll	f	
2350					
2351					
2352			pl		
2353			pl	f	
2354					
2355					
2356			pl		
2357					
2358			pl		
2359					
2360					
2361					
2362					
2363				f	
2364					
2365					
2366					
2367					
2368					
2369					
2370					rr-rr
2371				f	
2372			coll	f	
2373					
2374			pl		
2375					rr-rr
2376					
2377					
2378				f	
2379				f	
2380					
2381					
2382					
2383					
2384				f	
2385			pl		
2386					
2387					
2388			pl		
2389					
2390					
2391					
2392					
2393					
2394					j-
2395				f	
2396			pl	f	
2397					
2398					
2399					
2400					
2401					
2402					
2403					
2404					
2405					
2406					
2407					
2408					
2409					
2410					
2411					
2412					
2413					
2414					
2415					
2416					
2417					
2418					xrr
2419				f	
2420					
2421					
2422				f	m-
2423					
2424				f	
2425					
2426					
2427					
2428					rr-rr
2429					rr-rr
2430					
2431					
2432					rr-rr
2433					
